ZipCode,american pit bull mix / pit bull mix,american pit bull terrier/pit bull,australian shepherd,beagle,beagle crossbreed,boston terrier,cavalier king charles spaniel,chihuahua,chihuahua crossbreed,cocker spaniel,french bulldog,german shepherd crossbreed,german shepherd dog,golden retriever,goldendoodle,havanese,jack russell terrier,labradoodle,labrador retriever,labrador retriever crossbreed,maltese,not provided,pomeranian,poodle,poodle crossbreed,"poodle, miniature","poodle, toy",pug,shiba inu,shih tzu,shih tzu crossbreed,terrier mix,unknown,yorkshire terrier
11372,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,70.0,,,96.0,
11373,,,,,,,,52.0,,,,,,,,,,,,,52.0,,,,,,,,,64.0,,,68.0,72.0
11374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,
11375,,,,,,,,72.0,,,,,,,,,,,53.0,,68.0,59.0,,,,,,,,70.0,,,154.0,55.0
11377,,,,,,,,64.0,,,,,,,,,,,,,64.0,,,,,,,,,83.0,,,122.0,79.0
11378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,
11379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,118.0,52.0
11385,83.0,76.0,,,,,,93.0,,,,,,,,,,,53.0,73.0,65.0,64.0,,,,,,,,91.0,,,202.0,127.0
11414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,
11417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,
11421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,58.0
11434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,54.0,58.0
11435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,51.0
11691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,
