,Unnamed: 0,0
424,424,Rhodesian-Ridgeback
425,425,Papillon
426,426,Norwich-Terrier
427,427,Wheaton-Terrier
428,428,Dalmatian
429,429,Cane-Corso
430,430,Collie-Crossbreed
431,431,Belgian-Malinois
432,432,Toy-Fox-Terrier
433,433,Miniature-American-Shepherd
434,434,Standard-Schnauzer
435,435,Australian-Shepherd
436,436,Bassett-Hound
437,437,Brittany-Spaniel
438,438,Staffordshire-Bull-Terrier
439,439,"Schnauzer,-Standard"
440,440,American-English-Coonhound
441,441,Portuguese-Water-Dog
442,442,Doberman-Pinscher
443,443,Scottish-Terrier
444,444,Schipperkee
445,445,Great-Dane
446,446,Newfoundland
447,447,Bouvier-Des-Flandres
448,448,Bernese-Mountain-Dog
449,449,"Welsh-Corgi,-Pembroke"
450,450,"Shar-Pei,-Chinese"
451,451,English-Springer-Spaniel
452,452,Irish-Terrier
453,453,Cairn-Terrier
454,454,Tibetan-Spaniel
455,455,Portuguese-Podengo-Pequeno
456,456,Welsh-Terrier
457,457,Catahoula-Leopard-Dog
458,458,Bloodhound
459,459,Field-Spaniel
460,460,Australian-Kelpie
461,461,Parson-Russell-Terrier
462,462,West-High-White-Terrier
463,463,Cotton-De-Tulear
464,464,Australian-Terrier
465,465,"Mastiff,-Old-English"
466,466,Sealyham-Terrier
467,467,Old-English-Sheepdog
468,468,"Pointer,-German-Shorthaired"
469,469,Nova-Scotia-Duck-Tolling-Retriever
470,470,Plott
471,471,"Collie,-Rough-Coat"
472,472,Lancashire-Heeler
473,473,Schipperke
474,474,"Dachshund,-Wirehaired,-Miniature"
475,475,Cardigan-Welsh-Corgi
476,476,Russell-Terrier
477,477,West-Highland-White-Terrier
478,478,"Coonhound,-Treeing-Walker"
479,479,Samoyed
480,480,Australian-Silky-Terrier
481,481,English-Cocker-Spaniel
482,482,"Pointer,-German-Wirehaired"
483,483,Cockapoo
484,484,"Jindo-Dog,-Korea"
485,485,"Mastiff,-French-(Dogue-de-Bordeaux)"
486,486,"Schnauzer,-Giant"
487,487,Eurasier
488,488,Saint-Bernard
489,489,Redbone-Coonhound
490,490,Pembroke-Welsh-Corgi
491,491,Coton-de-Tulear
492,492,Irish-Red-and-White-Setter
493,493,Alaskan-Malamute
494,494,Wirehaired-Pointing-Griffon
495,495,St.-Bernard
496,496,"Coonhound,-Black-and-Tan"
497,497,Briard
498,498,Akita
499,499,Pharaoh-Hound
500,500,American-Foxhound
501,501,Bullmastiff
502,502,German-Pinscher
503,503,Afghan-Hound
504,504,Black-and-Tan-Coonhound
505,505,Bluetick-Coonhound
506,506,Irish-Wolfhound
507,507,Affenpinscher
508,508,Great-Pyrenees
509,509,Dutch-Shepherd
510,510,"Coonhound,-Blue-Tick"
511,511,Chesapeake-Bay-Retriever
512,512,Soft-Coated-Wheaten-Terrier
513,513,Leonberger
514,514,Chinese-Shar-Pei
515,515,Jindo
516,516,Dogue-de-Bordeaux
517,517,Yorkshire-Terrier-Crossbreed
518,518,Spinone-Italiano
519,519,"Dachshund,-Wirehaired"
520,520,Kerry-Blue-Terrier
521,521,Brittany
522,522,Pomeranian-Crossbreed
523,523,Belgian-Tervuren
524,524,Keeshond
525,525,Flat-Coated-Retriever
526,526,German-Spitz
527,527,Lowchen
528,528,Chihuahua-Crossbreed
529,529,Irish-Setter
530,530,Smooth-Fox-Terrier
531,531,Norwegian-Elkhound
532,532,Polish-Lowland-Sheepdog
533,533,Puli
534,534,"Mastiff,-Neapolitan"
535,535,Terrier-Crossbreed
536,536,Welsh-Springer-Spaniel
537,537,Lakeland-Terrier
538,538,American-Leopard-Hound
539,539,Lagotto-Romagnolo
540,540,"Collie,-Bearded"
541,541,Maltese-Crossbreed
542,542,Perro-de-Presa-Canario
543,543,Belgian-Sheepdog
544,544,Portuguese-Sheepdog
545,545,Shih-Tzu-Crossbreed
546,546,Bedlington-Terrier
547,547,Bolognese
548,548,Karelian-Bear-Dog
